panelist_id,polarity,term
mia,required,protein
mia,required,ingredients
mia,required,label
mia,required,gym
mia,required,real food
mia,forbidden,artisanal
mia,forbidden,journey
mia,forbidden,curated
mia,forbidden,bespoke
mia,forbidden,indulgence
liam,required,grab
liam,required,quick
liam,required,site
liam,required,sound
liam,required,proper
liam,forbidden,nourishing
liam,forbidden,wholesome
liam,forbidden,curated
liam,forbidden,artisanal
liam,forbidden,mindful
jordan,required,vibes
jordan,required,quick
jordan,required,shift
jordan,required,decent
jordan,required,fair
jordan,forbidden,wholesome
jordan,forbidden,nutrient-dense
jordan,forbidden,bespoke
jordan,forbidden,intentional
jordan,forbidden,nourishing
chloe,required,price
chloe,required,offer
chloe,required,multipack
chloe,required,weekly shop
chloe,required,decent
chloe,forbidden,premium
chloe,forbidden,artisanal
chloe,forbidden,gourmet
chloe,forbidden,bespoke
chloe,forbidden,curated
tariq,required,protein
tariq,required,macros
tariq,required,budget
tariq,required,solid
tariq,required,calories
tariq,forbidden,lifestyle
tariq,forbidden,vibes
tariq,forbidden,artisanal
tariq,forbidden,journey
tariq,forbidden,wholesome
ellie,required,packaging
ellie,required,brand
ellie,required,story
ellie,required,trend
ellie,required,plant
ellie,forbidden,mass-market
ellie,forbidden,generic
ellie,forbidden,supermarket-own
ellie,forbidden,cheap
ellie,forbidden,boring
sophie,required,clean
sophie,required,label
sophie,required,real
sophie,required,protein
sophie,required,client
sophie,forbidden,artisanal
sophie,forbidden,indulgence
sophie,forbidden,treat
sophie,forbidden,journey
sophie,forbidden,curated
marcus,required,macros
marcus,required,ingredients
marcus,required,clean
marcus,required,supermarket
marcus,required,reasonable
marcus,forbidden,artisanal
marcus,forbidden,lifestyle
marcus,forbidden,journey
marcus,forbidden,curated
marcus,forbidden,bespoke
aisha,required,station
aisha,required,grab
aisha,required,quick
aisha,required,meeting
aisha,required,lunch
aisha,forbidden,artisanal
aisha,forbidden,curated
aisha,forbidden,nourishing
aisha,forbidden,bespoke
aisha,forbidden,wholesome
ben,required,£1.80
ben,required,marketing
ben,required,aisle
ben,required,another
ben,required,kitchen
ben,forbidden,wholesome
ben,forbidden,nourishing
ben,forbidden,curated
ben,forbidden,bespoke
ben,forbidden,journey
olivia,required,brand
olivia,required,story
olivia,required,plant
olivia,required,grading
olivia,required,feature
olivia,forbidden,mass-market
olivia,forbidden,generic
olivia,forbidden,cheap
olivia,forbidden,boring
olivia,forbidden,multipack
adam,required,protein
adam,required,clients
adam,required,macros
adam,required,fair price
adam,required,solid
adam,forbidden,curated
adam,forbidden,artisanal
adam,forbidden,journey
adam,forbidden,vibes
adam,forbidden,indulgence
priya,required,ingredients
priya,required,label
priya,required,kids
priya,required,kitchen
priya,required,suspicious
priya,forbidden,curated
priya,forbidden,artisanal
priya,forbidden,journey
priya,forbidden,lifestyle
priya,forbidden,bespoke
tom,required,framing
tom,required,substance
tom,required,clean
tom,required,nutrition label
tom,required,marketing
tom,forbidden,artisanal
tom,forbidden,curated
tom,forbidden,bespoke
tom,forbidden,journey
tom,forbidden,wholesome
sarah,required,price
sarah,required,lunchbox
sarah,required,kids
sarah,required,Aldi
sarah,required,offer
sarah,forbidden,premium
sarah,forbidden,artisanal
sarah,forbidden,gourmet
sarah,forbidden,curated
sarah,forbidden,bespoke
mark,required,price
mark,required,multipack
mark,required,lunchbox
mark,required,Asda
mark,required,dear
mark,forbidden,premium
mark,forbidden,artisanal
mark,forbidden,curated
mark,forbidden,plant-based
mark,forbidden,wholesome
hugo,required,texture
hugo,required,executed
hugo,required,quality
hugo,required,tastes
hugo,required,fair
hugo,forbidden,mass-market
hugo,forbidden,generic
hugo,forbidden,cheap
hugo,forbidden,artificial
hugo,forbidden,bland
aisling,required,price
aisling,required,multipack
aisling,required,lunchbox
aisling,required,kids
aisling,required,careful
aisling,forbidden,premium
aisling,forbidden,gourmet
aisling,forbidden,bespoke
aisling,forbidden,curated
aisling,forbidden,artisanal
helen,required,label
helen,required,quality
helen,required,Pilates
helen,required,substance
helen,required,read
helen,forbidden,curated
helen,forbidden,bespoke
helen,forbidden,vibes
helen,forbidden,journey
helen,forbidden,indulgence
dean,required,multipack
dean,required,price
dean,required,Costco
dean,required,daft
dean,required,laugh
dean,forbidden,premium
dean,forbidden,artisanal
dean,forbidden,plant-based
dean,forbidden,curated
dean,forbidden,bespoke
charlotte,required,quality
charlotte,required,price
charlotte,required,considered
charlotte,required,Waitrose
charlotte,required,ingredient
charlotte,forbidden,mass-market
charlotte,forbidden,generic
charlotte,forbidden,cheap
charlotte,forbidden,boring
charlotte,forbidden,bland
karl,required,evidence
karl,required,claim
karl,required,verify
karl,required,third-party
karl,required,profile
karl,forbidden,lifestyle
karl,forbidden,journey
karl,forbidden,curated
karl,forbidden,vibes
karl,forbidden,bespoke
david,required,cholesterol
david,required,plant proteins
david,required,salt
david,required,reasonable
david,required,considered
david,forbidden,lifestyle
david,forbidden,curated
david,forbidden,vibes
david,forbidden,journey
david,forbidden,bespoke
linda,required,Tesco
linda,required,friend
linda,required,sort
linda,required,bit
linda,required,love
linda,forbidden,macros
linda,forbidden,post-gym
linda,forbidden,curated
linda,forbidden,artisanal
linda,forbidden,bespoke
patrick,required,quality
patrick,required,acceptable
patrick,required,executed
patrick,required,evening
patrick,required,price
patrick,forbidden,mass-market
patrick,forbidden,generic
patrick,forbidden,cheap
patrick,forbidden,bland
patrick,forbidden,boring
rachel,required,claim
rachel,required,verify
rachel,required,evidence
rachel,required,listed
rachel,required,honest
rachel,forbidden,lifestyle
rachel,forbidden,journey
rachel,forbidden,curated
rachel,forbidden,vibes
rachel,forbidden,bespoke
margaret,required,daughter
margaret,required,biscuits
margaret,required,tea
margaret,required,nice
margaret,required,old
margaret,forbidden,macros
margaret,forbidden,post-gym
margaret,forbidden,plant-protein
margaret,forbidden,curated
margaret,forbidden,artisanal
geoffrey,required,reasonable
geoffrey,required,Marks's
geoffrey,required,stated
geoffrey,required,proper
geoffrey,required,plainly
geoffrey,forbidden,vibes
geoffrey,forbidden,curated
geoffrey,forbidden,journey
geoffrey,forbidden,lifestyle
geoffrey,forbidden,bespoke
doreen,required,grandson
doreen,required,tea
doreen,required,custard creams
doreen,required,love
doreen,required,not for me
doreen,forbidden,plant-based
doreen,forbidden,macros
doreen,forbidden,curated
doreen,forbidden,bespoke
doreen,forbidden,artisanal
roger,required,marketing
roger,required,wife
roger,required,daft
roger,required,bar
roger,required,wrapper
roger,forbidden,lifestyle
roger,forbidden,curated
roger,forbidden,bespoke
roger,forbidden,journey
roger,forbidden,vibes
